title;_year_data;year;rated;released;runtime;genres;director;writer;actors;plot;languages;country;Oscar nominations;Oscars;nominations;wins;poster;ratings/0/Source;ratings_Value;ratings/1/Source;ratings/1/Value;ratings/2/Source;ratings/2/Value;metascore;rating;votes;imdbid;type;dvd;boxoffice;production;website;response;name;series;imdburl;totalseasons;start_year;opts/apiKey;opts/timeout
Ghost Rider;2007;2007;PG-13;2007-02-15T23:00:00.000Z;114 min;Action;Mark Steven Johnson;Mark Steven Johnson (screenplay), Mark Steven Johnson (screen story);Matt Long, Raquel Alessi, Brett Cullen, Peter Fonda;"When the motorcyclist Johnny Blaze finds that his father Barton Blaze has a terminal cancer, he accepts a pact with the Mephistopheles, giving his soul for the health of his beloved father. But the devil deceives him, and Barton dies in a motorcycle accident during an exhibition. Johnny leaves the carnival, his town, his friends and his girlfriend Roxanne. Years later Johnny Blaze becomes a famous motorcyclist, who risks his life in his shows, and he meets Roxanne again, now a TV reporter. However, Mephistopheles proposes Johnny to release his contract if he become the ""Ghost Rider"" and defeat his evil son Blackheart, who wants to possess one thousand evil souls and transform hell on earth.";English;USA;0;0;9;1;https://m.media-amazon.com/images/M/MV5BMzIyNDE5ODI1OV5BMl5BanBnXkFtZTcwNTIyNDE0MQ@@._V1_SX300.jpg;Internet Movie Database;5.2/10;Rotten Tomatoes;27%;Metacritic;35/100;35;5.2;204,101;tt0259324;movie;12/jun/07;$115,802,596;Sony Pictures;http://www.sonypictures.com/movies/ghostrider/index.html;True;Ghost Rider;false;https://www.imdb.com/title/tt0259324;;;;
Ghost Rider: Spirit of Vengeance;2011;2011;PG-13;2012-02-16T23:00:00.000Z;96 min;Action;Mark Neveldine, Brian Taylor;Scott M. Gimple (screenplay), Seth Hoffman (screenplay), David S. Goyer (screenplay), David S. Goyer (story);Nicolas Cage, Violante Placido, Ciarán Hinds, Idris Elba;Johnny Blaze, a man who made a deal with the Devil who called himself Mephistopheles at the time (now Roarke), is on the run trying to make sure no-one is harmed by his alter ego, The Ghost Rider. He is approached by a Monk named Moreau who tells him that he can help be him free of the Rider, but first, he needs Johnny's help to protect a boy, whom Roarke has plans for, to help him take human form.;English, Romanian;USA;0;0;4;0;https://m.media-amazon.com/images/M/MV5BMTkwNDM5MDEzOF5BMl5BanBnXkFtZTcwNDEyNTUxNw@@._V1_SX300.jpg;Internet Movie Database;4.3/10;Rotten Tomatoes;17%;Metacritic;34/100;34;4.3;100,856;tt1071875;movie;12/jun/12;$51,774,002;Sony Pictures;http://www.thespiritofvengeance.com/;True;Ghost Rider: Spirit of Vengeance;false;https://www.imdb.com/title/tt1071875;;;;
Gone in Sixty Seconds;2000;2000;PG-13;2000-06-08T22:00:00.000Z;118 min;Action;Dominic Sena;H.B. Halicki, Scott Rosenberg (screenplay);Nicolas Cage, Giovanni Ribisi, Angelina Jolie, T.J. Cross;"Car theft in Long Beach went down 47% when Randall ""Memphis"" Raines walked away from the life. He gets dragged back into it by assuming the job his brother Kip screwed up for stolen-car broker Raymond Calitri: steal 50 exotic cars and have them on a container ship by 8 AM Friday morning, and he got this news on a Monday. With Calitri threatening to kill him and Kip, and the police GRAB unit breathing down his neck, Memphis reassembles his old crew and attempts to pull off the logistically impossible.";English;USA;0;0;6;9;https://m.media-amazon.com/images/M/MV5BMTIwMzExNDEwN15BMl5BanBnXkFtZTYwODMxMzg2._V1_SX300.jpg;Internet Movie Database;6.5/10;Rotten Tomatoes;25%;Metacritic;35/100;35;6.5;240,189;tt0187078;movie;5/dec/00;$100,978,700;Buena Vista Pictures;http://studio.go.com/movies/goneinsixty;True;Gone in Sixty Seconds;false;https://www.imdb.com/title/tt0187078;;;;
Grand Isle;1991;1991;UNRATED;1991-11-14T23:00:00.000Z;94 min;Drama;Mary Lambert;Kate Chopin (novel), Hesper Anderson (screenplay);Kelly McGillis, Jon DeVries, Adrian Pasdar, Ellen Burstyn;A married woman in 1890s Louisiana meets a handsome Creole, reawakening her sexual desires, and is tempted into an affair with the man.;English;USA;0;0;2;2;https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MTg5NDUwOV5BMl5BanBnXkFtZTcwMzYzMTkyMQ@@._V1_SX300.jpg;Internet Movie Database;5.4/10;;;;;N/A;5.4;146;tt0101970;movie;N/A;N/A;N/A;N/A;True;Grand Isle;false;https://www.imdb.com/title/tt0101970;;;;
Grindhouse;2007;2007;R;2007-04-05T22:00:00.000Z;191 min;Action;Robert Rodriguez, Eli Roth, Quentin Tarantino, Edgar Wright, Rob Zombie;"Robert Rodriguez, Rob Zombie, Edgar Wright, Jeff Rendell, Eli Roth, Quentin Tarantino, Rob Cotterill (story), Jason Eisener (story), John Davies (fake trailer segment ""Hobo with a Shotgun"")";Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito;"A double-bill of thrillers that recall both filmmakers' favorite exploitation films. ""Grindhouse"" (a downtown movie theater in disrepair since its glory days as a movie palace known for ""grinding out"" non-stop double-bill programs of B-movies) is presented as one full-length feature comprised of two individual films helmed separately by each director. ""Death Proof,"" is a rip-roaring slasher flick where the killer pursues his victims with a car rather than a knife, while ""Planet Terror"" shows us a view of the world in the midst of a zombie outbreak. The films are joined together by clever faux trailers that recall the '50s exploitation drive-in classics.";English, Spanish;USA;0;0;15;7;https://m.media-amazon.com/images/M/MV5BMjA0MzExNzc3MV5BMl5BanBnXkFtZTcwODAxMzM0MQ@@._V1_SX300.jpg;Internet Movie Database;7.6/10;Rotten Tomatoes;83%;Metacritic;77/100;77;7.6;167,153;tt0462322;movie;N/A;$24,928,753;The Weinstein Co./Dimension;http://grindhousemovie.net/;True;Grindhouse;false;https://www.imdb.com/title/tt0462322;;;;
Guarding Tess;1994;1994;PG-13;1994-03-10T23:00:00.000Z;96 min;Comedy;Hugh Wilson;Hugh Wilson, Pj Torokvei;Shirley MacLaine, Nicolas Cage, Austin Pendleton, Edward Albert;Doug is a Secret Service Agent who has just completed his stint in charge protecting Tess Carlisle, widow of a former U.S. President, and close personal friend of the President. He finds that she has requested that he not be rotated but instead return to be her permanent detail. Doug is crushed. He wants off her detail. She is very difficult to guard and makes her detail crazy with her whims and demands. Doug returns with no idea of how to continue dealing with her.;English;USA;1;0;1;0;https://m.media-amazon.com/images/M/MV5BNzFkM2RiNWQtOWQxNy00ZWNmLWIyZTktNmJjZmY1ZTliZjU1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg;Internet Movie Database;6.2/10;Rotten Tomatoes;56%;Metacritic;46/100;46;6.2;14,163;tt0109951;movie;14/apr/98;N/A;Sony Pictures Home Entertainment;N/A;True;Guarding Tess;false;https://www.imdb.com/title/tt0109951;;;;
Honeymoon in Vegas;1992;1992;PG-13;1992-08-27T22:00:00.000Z;96 min;Comedy;Andrew Bergman;Andrew Bergman;James Caan, Nicolas Cage, Sarah Jessica Parker, Pat Morita;On her deathbed, a mother makes her son promise never to get married, which scars him with psychological blocks to a commitment with his girlfriend. They finally decide to tie the knot in Vegas, but a wealthy gambler arranges for the man to lose $65K in a poker game and offers to clear the debt for a weekend with his fiancée. Suddenly the man is insanely jealous, and pursues his fiancée and her rich companion, but finds pitfalls in his path as the gambler tries to delay his interference.;English, Hawaiian;USA;2;0;2;0;https://m.media-amazon.com/images/M/MV5BYjNlYjAzNWUtZGZjMS00YTY0LThmOGEtZTg1MDBjNmMwMmNkXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg;Internet Movie Database;5.8/10;Rotten Tomatoes;61%;;;N/A;5.8;15,645;tt0104438;movie;15 May 2001;N/A;Sony Pictures Home Entertainment;N/A;True;Honeymoon in Vegas;false;https://www.imdb.com/title/tt0104438;;;;
Inconceivable;2017;2017;R;2017-06-29T22:00:00.000Z;105 min;Drama;Jonathan Baker;Chloe King;Gina Gershon, Nicky Whelan, Nicolas Cage, Sienna Soho Baker;A mysterious young woman, Katie (Nicky Whelan), and her daughter move to a new town to escape her past and quickly befriends Angela Morgan (Gina Gershon), a mother of one who longs for a bigger family. As their lives become intricately entwined, Angela and her husband, Brian, (Nicolas Cage), invite Katie to live in their guest-house to serve as their nanny. Over time, the blossoming friendship between the two women spirals into a dangerous obsession as Katie becomes overly attached to the Morgans' daughter. Enduring lies and manipulations, Angela and Brian realize that sweet Katie is actually trying to destroy their family from within.;English;UK;0;0;0;0;https://m.media-amazon.com/images/M/MV5BNWM0ODdkNTYtNjAwNS00OTE1LTlhMWMtOGE5OThjM2MzMzAwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg;Internet Movie Database;5.2/10;Rotten Tomatoes;31%;;;N/A;5.2;6,286;tt3481634;movie;29/aug/17;N/A;Lionsgate Premiere;N/A;True;Inconceivable;false;https://www.imdb.com/title/tt3481634;;;;
Industrial Symphony No. 1: The Dream of the Brokenhearted;1990;1990;N/A;;50 min;Drama;David Lynch;N/A;Laura Dern, Nicolas Cage, Julee Cruise, Lisa Giobbi;After her boyfriend ends their relationship, the dreamself of a heartbroken woman floats through the air over an industrial wasteland singing ballads of love.;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BYjczNzFjOTktZGRmNS00Yjc3LTgzNGEtMDQxZWY4MjUwMjkzXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg;Internet Movie Database;7.2/10;;;;;N/A;7.2;1,487;tt0099844;movie;N/A;N/A;Warner Reprise Video;N/A;True;Industrial Symphony No. 1: The Dream of the Brokenhearted;false;https://www.imdb.com/title/tt0099844;;;;
It Could Happen to You;1994;1994;PG;1994-07-28T22:00:00.000Z;101 min;Comedy;Andrew Bergman;Jane Anderson;Nicolas Cage, Bridget Fonda, Rosie Perez, Wendell Pierce;Charlie and Muriel Lang have led simple lives - for most of their existance. That's until they win $4 million on the lottery! There is a problem, however. Prior to winning the lottery, Charlie had eaten at a cafe and hadn't been able to tip the waitress. He had promised her, jokingly, that if he won the lottery he'd give her half of it. This is why his wife, Muriel decides to leave him. She doesn't want the waitress to get a cent of their money. Infact she wants all $4 million for herself!;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BYzMxOGUzOWEtMGUxMi00ZWM1LWE3ODgtNzc4OGVjZmJhMmFmXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg;Internet Movie Database;6.3/10;Rotten Tomatoes;71%;Metacritic;64/100;64;6.3;31,282;tt0110167;movie;30 Oct 2001;N/A;Sony Pictures Home Entertainment;N/A;True;It Could Happen to You;false;https://www.imdb.com/title/tt0110167;;;;
Kate Winslet: What If Christmas Carol the Movie;2001;2001;N/A;2001-09-13T22:00:00.000Z;N/A;Short;Paul Donnellon;N/A;Kate Winslet;N/A;N/A;UK;0;0;0;0;https://images-na.ssl-images-amazon.com/images/M/MV5BZGE4ZmNjNDQtYmE2My00MTg3LTg3NDEtZTA2MzhhMTk2MDlmXkEyXkFqcGdeQXVyNTgzNDU0ODY@._V1_SX300.jpg;Internet Movie Database;8.9/10;;;;;N/A;8.9;12;tt5617492;movie;N/A;N/A;N/A;N/A;True;Kate Winslet: What If Christmas Carol the Movie;false;https://www.imdb.com/title/tt5617492;;;;
Kick-Ass;2010;2010;R;2010-04-15T22:00:00.000Z;117 min;Action;Matthew Vaughn;Jane Goldman (screenplay), Matthew Vaughn (screenplay), Mark Millar (comic book), John Romita Jr. (comic book);Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss;Dave Lizewski is an unnoticed high school student and comic book fan with a few friends and who lives alone with his father. His life is not very difficult and his personal trials not that overwhelming. However, one day he makes the simple decision to become a super-hero even though he has no powers or training.;English;UK;0;0;61;19;https://m.media-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_SX300.jpg;Internet Movie Database;7.6/10;Rotten Tomatoes;76%;Metacritic;66/100;66;7.6;486,44;tt1250777;movie;3/aug/10;$20,000,000;Lionsgate;http://kickass-themovie.com/;True;Kick-Ass;false;https://www.imdb.com/title/tt1250777;;;;
Kiss of Death;1995;1995;R;1995-04-20T22:00:00.000Z;101 min;Action;Barbet Schroeder;Eleazar Lipsky (story), Ben Hecht, Charles Lederer, Richard Price (screenplay);David Caruso, Samuel L. Jackson, Nicolas Cage, Helen Hunt;Jimmy Kilmartin's an ex-con who's trying to go straight. But he can't say no to a quick driving job because his so called friend's life is threatened. The job is for Little Junior Brown, a violent and powerful villain. When things go wrong, Jimmy is left to do the time, and his whole life is turned upside-down, but if that wasn't enough, the cops won't leave Jimmy alone when he gets out... They want 'Little Junior';English;USA;0;0;1;0;https://m.media-amazon.com/images/M/MV5BYTlhZWU3ZjAtNjFkZS00NWQ3LTliOGYtOGZlN2VhOGUxZDRmXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg;Internet Movie Database;5.9/10;Rotten Tomatoes;68%;;;N/A;5.9;15,467;tt0113552;movie;1/jun/04;N/A;Twentieth Century Fox Home Entertainment;N/A;True;Kiss of Death;false;https://www.imdb.com/title/tt0113552;;;;
Knowing;2009;2009;PG-13;2009-03-19T23:00:00.000Z;121 min;Drama;Alex Proyas;Ryne Douglas Pearson (screenplay), Juliet Snowden (screenplay), Stiles White (screenplay), Ryne Douglas Pearson (story);Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson;"In the fall of 1959, for a time capsule, students draw pictures of life as they imagine it will be in 50 years. Lucinda, an odd child who hears voices, swiftly writes a long string of numbers. In 2009, the capsule is opened; student Caleb Koestler gets Lucinda's ""drawing"" and his father John, an astrophysicist and grieving widower, takes a look. He discovers dates of disasters over the past 50 years with the number who died. Three dates remain, all coming soon. He investigates, learns of Lucinda, and looks for her family. He fears for his son, who's started to hear voices and who is visited by a silent stranger who shows him a vision of fire and destruction. What's going on?";English;USA;0;0;5;1;https://m.media-amazon.com/images/M/MV5BMTMyMjgyMDIyM15BMl5BanBnXkFtZTcwNjg3MjAyMg@@._V1_SX300.jpg;Internet Movie Database;6.2/10;Rotten Tomatoes;33%;Metacritic;41/100;41;6.2;205,058;tt0448011;movie;7/jul/09;$79,948,113;Summit Entertainment;http://www.knowing-themovie.com/;True;Knowing;false;https://www.imdb.com/title/tt0448011;;;;
Leaving Las Vegas;1995;1995;R;1996-02-08T23:00:00.000Z;111 min;Drama;Mike Figgis;John O'Brien (based upon the novel by), Mike Figgis (screenplay by);Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis;Because his wife left him and took his son with her, screenwriter Ben Sanderson has started drinking, a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired, he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera, a prostitute with some problems as well who he moves in with.;English, Russian;France;0;1;26;30;https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg;Internet Movie Database;7.5/10;Rotten Tomatoes;90%;Metacritic;82/100;82;7.5;104,245;tt0113627;movie;24/feb/98;N/A;United Artists;N/A;True;Leaving Las Vegas;false;https://www.imdb.com/title/tt0113627;;;;
Left Behind;2014;2014;PG-13;2014-10-02T22:00:00.000Z;110 min;Action;Vic Armstrong;Jerry B. Jenkins (based on novel), Tim LaHaye (based on novel), Paul Lalonde, John Patus;Nicolas Cage, Chad Michael Murray, Cassi Thomson, Nicky Whelan;A small group of survivors are left behind after millions of people suddenly vanish and the world is plunged into chaos and destruction.;English;USA;0;0;4;0;https://m.media-amazon.com/images/M/MV5BMjI4MjA2OTQxMF5BMl5BanBnXkFtZTgwMjcyMTI2MjE@._V1_SX300.jpg;Internet Movie Database;3.1/10;Rotten Tomatoes;1%;Metacritic;12/100;12;3.1;31,652;tt2467046;movie;6/jan/15;$10,649,893;Freestyle Releasing;http://www.leftbehindmovie.com/;True;Left Behind;false;https://www.imdb.com/title/tt2467046;;;;
Legittimo Brigantaggio: Tempo di Uccidere;2011;2011;N/A;2011-09-19T22:00:00.000Z;5 min;Short;Emiliano Locatelli;Emiliano Locatelli;N/A;N/A;Italian;Italy;0;0;0;0;N/A;;0;;;;;N/A;0;N/A;tt2294711;movie;N/A;N/A;N/A;N/A;True;Legittimo Brigantaggio: Tempo di Uccidere;false;https://www.imdb.com/title/tt2294711;;;;
Lord of War;2005;2005;R;2005-09-15T22:00:00.000Z;122 min;Crime;Andrew Niccol;Andrew Niccol;Nicolas Cage, Bridget Moynahan, Jared Leto, Shake Tukhmanyan;This film charts the rise and fall of Yuri Orlov, from his early days in the early 1980s in Little Odessa, selling guns to mobsters in his local neighbourhood, through to his ascension through the decade of excess and indulgence into the early 90s, where he forms a business partnership with an African warlord and his psychotic son. The film also charts his relationship through the years with his younger brother, his marriage to a famous model, his relentless pursuit by a determined federal agent and his inner demons that sway between his drive for success and the immorality of what he does.;English, Ukrainian, German, Spanish, Russian, French, Arabic, Turkish;USA;0;0;2;2;https://m.media-amazon.com/images/M/MV5BMTYzZWE3MDAtZjZkMi00MzhlLTlhZDUtNmI2Zjg3OWVlZWI0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg;Internet Movie Database;7.6/10;Rotten Tomatoes;61%;Metacritic;62/100;62;7.6;272,437;tt0399295;movie;17/jan/06;$24,033,036;Lions Gate;http://www.lordofwarthemovie.com/;True;Lord of War;false;https://www.imdb.com/title/tt0399295;;;;
Matchstick Men;2003;2003;PG-13;2003-09-11T22:00:00.000Z;116 min;Comedy;Ridley Scott;Eric Garcia (book), Nicholas Griffin (screenplay), Ted Griffin (screenplay);Nicolas Cage, Sam Rockwell, Alison Lohman, Bruce Altman;"Meet Roy and Frank, a couple of professional small-time con artists. What Roy, a veteran of the grift, and Frank, his ambitious protégé, are swindling these days are ""water filtration systems,"" bargain-basement water filters bought by unsuspecting people who pay ten times their value in order to win bogus prizes like cars, jewelry and overseas vacations--which they never collect. These scams net the flim-flam men a few hundred here, another thousand there, which eventually adds up to a lucrative partnership. Roy's private life, however, is not so successful. An obsessive-compulsive agoraphobe with no personal relationships to call his own, Roy is barely hanging on to his wits, and when his idiosyncrasies begin to threaten his criminal productivity he's forced to seek the help of a psychoanalyst just to keep him in working order. While Roy is looking for a quick fix, his therapy begets more than he bargained for: the revelation that he has a teenage daughter--a child whose existence he suspected but never dared confirm. What's more troubling, 14-year-old Angela wants to meet the father she never knew. At first, Angela's appearance disrupts her neurotic father's carefully ordered routine. Soon, however, with his own unique spin on parenthood, Roy begins to enjoy a relationship he never dreamed of having with his daughter. But while he develops paternal feelings for the 14-year-old, she's developing a fascination with Daddy's questionable career.";English;USA;0;0;5;0;https://m.media-amazon.com/images/M/MV5BMjA3NjMyNjIyMF5BMl5BanBnXkFtZTYwOTgzMDI3._V1_SX300.jpg;Internet Movie Database;7.3/10;Rotten Tomatoes;82%;Metacritic;61/100;61;7.3;115,971;tt0325805;movie;1/jun/04;$36,873,198;Warner Bros. Pictures;http://matchstickmenmovie.warnerbros.com/;True;Matchstick Men;false;https://www.imdb.com/title/tt0325805;;;;
Meet Joe Black;1998;1998;PG-13;1998-11-12T23:00:00.000Z;178 min;Drama;Martin Brest;Ron Osborn (screenplay), Jeff Reno (screenplay), Kevin Wade (screenplay), Bo Goldman (screenplay), Alberto Casella (play), Walter Ferris (play), Maxwell Anderson (earlier screenplay), Gladys Lehman (earlier screenplay);Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber;Bill Parrish, media tycoon, loving father and still a human being, is about to celebrate his 65th birthday. One morning, he is contacted by the Inevitable - by hallucination, as he thinks. Later, Death itself enters his home and his life, personified in a man's body: Joe Black has arrived. His intention was to take Bill with him, but accidentally, Joe's former host and Bill's beautiful daughter Susan have already met. Joe begins to develop certain interest in life on earth as well as in Susan, who has no clue who she's flirting with.;English, Dutch;USA;0;0;6;3;https://m.media-amazon.com/images/M/MV5BNTc0MzRmMTgtMTk4OS00MzdkLWJjNWMtZWJmZjlkYTI0YWRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;Internet Movie Database;7.2/10;Rotten Tomatoes;51%;Metacritic;43/100;43;7.2;189,627;tt0119643;movie;6/apr/99;N/A;Universal Pictures;N/A;True;Meet Joe Black;false;https://www.imdb.com/title/tt0119643;;;;
Mom and Dad;2017;2017;R;2018-03-08T23:00:00.000Z;86 min;Comedy;Brian Taylor;Brian Taylor;Nicolas Cage, Selma Blair, Anne Winters, Zackary Arthur;A teenage girl and her little brother must survive a wild 24 hours during which a mass hysteria of unknown origins causes parents to turn violently on their own kids.;English;USA;0;0;1;1;https://m.media-amazon.com/images/M/MV5BZGRkM2Q3MmEtNzIyZC00NDdmLWFiMjEtMjk2NjNlODYwOWVlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg;Internet Movie Database;5.5/10;Metacritic;59/100;;;59;5.5;13,315;tt5462326;movie;N/A;N/A;N/A;N/A;True;Mom and Dad;false;https://www.imdb.com/title/tt5462326;;;;
Moonstruck;1987;1987;PG;1988-01-14T23:00:00.000Z;102 min;Comedy;Norman Jewison;John Patrick Shanley;Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis;No sooner does Italian-American widow Loretta accept a marriage proposal from her doltish boyfriend, Johnny, then she finds herself falling for his younger brother, Ronny. She tries to resist, but Ronny lost his hand in an accident he blames on his brother, and has no scruples about aggressively pursuing her while Johnny is out of the country. As Loretta falls deeper in love, she comes to learn that she's not the only one in her family with a secret romance.;English, Italian;USA;0;3;19;15;https://m.media-amazon.com/images/M/MV5BMjIwMDY0NzYyMF5BMl5BanBnXkFtZTcwOTE5NDk0NA@@._V1_SX300.jpg;Internet Movie Database;7.1/10;Rotten Tomatoes;93%;Metacritic;83/100;83;7.1;41,67;tt0093565;movie;30/jun/98;N/A;MGM Home Entertainment;N/A;True;Moonstruck;false;https://www.imdb.com/title/tt0093565;;;;
National Treasure;2004;2004;PG;2004-11-18T23:00:00.000Z;131 min;Action;Jon Turteltaub;Jim Kouf (screenplay), Cormac Wibberley (screenplay), Marianne Wibberley (screenplay), Jim Kouf (story), Oren Aviv (story), Charles Segars (story);Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean;Benjamin Franklin Gates descends from a family of treasure-seekers who've all hunted for the same thing: a war chest hidden by the Founding Fathers after the Revolutionary War. Ben's close to discovering its whereabouts, as is his competition, but the FBI is also hip to the hunt.;English, Spanish;USA;0;0;9;1;https://m.media-amazon.com/images/M/MV5BMTY3NTc4OTYxMF5BMl5BanBnXkFtZTcwMjk5NzUyMw@@._V1_SX300.jpg;Internet Movie Database;6.9/10;Rotten Tomatoes;45%;Metacritic;39/100;39;6.9;279,597;tt0368891;movie;03 May 2005;$172,975,674;Buena Vista;http://www.nationaltreasure.com/;True;National Treasure;false;https://www.imdb.com/title/tt0368891;;;;
National Treasure: Book of Secrets;2007;2007;PG;2007-12-20T23:00:00.000Z;124 min;Action;Jon Turteltaub;Marianne Wibberley (screenplay), Cormac Wibberley (screenplay), Gregory Poirier (story), Marianne Wibberley (story), Cormac Wibberley (story), Ted Elliott (story), Terry Rossio (story), Jim Kouf (characters), Oren Aviv (characters), Charles Segars (characters);Nicolas Cage, Justin Bartha, Diane Kruger, Jon Voight;While Ben Gates is presenting new information about John Wilkes Booth and the 18 pages missing from Booth's diary, a man by the name of Mitch Wilkinson stands up and presents a missing page of John Wilkes Booth's diary. Thomas Gates, Ben's great-grandfather, is mentioned on the page. It shows that Ben's great-grandfather was a co-conspirator in Abraham Lincoln's murder. When doing more research, the conspiracy takes Ben, Abigail Chase, and Riley Poole to Buckingham Palace (which they break into). They discover a plank that has early Native American writing on it. The plank has only one symbol that Patrick Gates can identify. The symbol is Cibola (see-bowl-uh) meaning the City of Gold. In order to define the rest they have to go to Ben's mother, Patrick's divorced wife. After 32 years it brings back old arguments. After that the other clue is in the President's desk in the Oval Office in the White House (which Ben and Abigail sneak into) to discover that the clue lies in The President's Book. But in order to see the book, their choice is either get elected president or kidnap the President of the United States. Which do they choose? It's obvious. With Wilkinson close on their tail, they find the book in the Library of Congress. The conspiracy then crosses to Mount Rushmore where the clue was on the hills, but (according to the Book) President Calvin Coolidge had the faces carved in so no one can find the City of Gold. When they get there they find out that they must work with Wilkinson since he has some clues of his own. Who will claim Cibola? And will the name of Gates be known as murder?;English, French;USA;0;0;5;1;https://m.media-amazon.com/images/M/MV5BMTU2NTM3NjU1N15BMl5BanBnXkFtZTcwODg1MDU1MQ@@._V1_SX300.jpg;Internet Movie Database;6.5/10;Rotten Tomatoes;36%;Metacritic;48/100;48;6.5;201,182;tt0465234;movie;18 May 2008;$219,932,519;Buena Vista Pictures;http://nationaltreasure.com/;True;National Treasure: Book of Secrets;false;https://www.imdb.com/title/tt0465234;;;;
Never on Tuesday;1989;1989;R;1989-04-12T22:00:00.000Z;90 min;Comedy;Adam Rifkin;Adam Rifkin;Claudia Christian, Andrew Lauer, Peter Berg, Dave Anderson;Matt and Eddie are two young men from the mid-west travelling to California to see the sights - primarily semi-clad women on beaches. They hop into their car and head off through the desert on their quest. Hours from civilization the two are horsing around inside the car, lose control, and collide with the only car they've seen for miles. The driver of the other car is Tuesday, the most beautiful woman they've ever seen. Stranded in the desert, Matt and Eddie fantasize about Tuesday while they wait for someone to stop and help them. A motley collection of humanity happen by, but few are willing to help.;English;USA;0;0;0;0;https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MzQxNTYxMl5BMl5BanBnXkFtZTgwNjk1ODk1MDE@._V1_SX300.jpg;Internet Movie Database;4.6/10;;;;;N/A;4.6;515;tt0095722;movie;N/A;N/A;Cinema Group;N/A;True;Never on Tuesday;false;https://www.imdb.com/title/tt0095722;;;;
Outcast;2016–;;TV-MA;2016-05-22T22:00:00.000Z;60 min;Drama;N/A;Robert Kirkman;Patrick Fugit, Philip Glenister, Wrenn Schmidt, Reg E. Cathey;"Kyle Barnes has had a series of misfortunes in his life; his mother would beat him as a child and he was accused of attacking his own daughter. After attending an exorcism in his native town, he is convinced his mother and his wife were possessed and he was not the source of them going bad. He therefore teams up with Reverend Anderson to try and save people that are possessed by demons while putting up with the residents of his town who think he's bad news and would deserve to be in jail.";English;USA;0;0;4;0;https://m.media-amazon.com/images/M/MV5BMTc1OTEyOTkwMF5BMl5BanBnXkFtZTgwMjMyMjA3NTM@._V1_SX300.jpg;Internet Movie Database;7.5/10;;;;;N/A;7.5;16,35;tt4229954;series;;;;;True;Outcast;true;https://www.imdb.com/title/tt4229954;2;2016;2a38c7fe;10000
Pay the Ghost;2015;2015;NOT RATED;2015-09-24T22:00:00.000Z;94 min;Drama;Uli Edel;Tim Lebbon (novel), Dan Kay (screenplay);Nicolas Cage, Sarah Wayne Callies, Veronica Ferres, Lyriq Bent;One year after Mike Lawford's young son disappeared during a Halloween carnival, he is haunted by ghostly images and terrifying messages he can't explain. Together with his estranged wife, he will stop at nothing to unravel the mystery and find their son-and, in doing so, he unearths the legend of the crying woman who refuses to remain buried in the past.;English, Spanish, Chinese, Scottish Gaelic;USA;0;0;2;1;https://m.media-amazon.com/images/M/MV5BMzY3MTc3NzQ1Nl5BMl5BanBnXkFtZTgwNjk2MDE3NjE@._V1_SX300.jpg;Internet Movie Database;5.2/10;Rotten Tomatoes;10%;Metacritic;23/100;23;5.2;13,45;tt3733778;movie;N/A;N/A;Voltage Films;N/A;True;Pay the Ghost;false;https://www.imdb.com/title/tt3733778;;;;
